link,lat,lon,comuna_geo,query_used
https://portalinmobiliario.com/MLC-1703130521-departamento-en-arriendo-en-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=27&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1717085871-departamento-casi-nuevo-1d-rodrigo-de-araya-av-macul-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=28&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,-33.4778167,-70.6222636,Macul,Barrio: rodrigo de araya
https://portalinmobiliario.com/MLC-3176603578-departamento-2d2b-santiago-centro-est-y-bodega-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=30&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3203845962-nunoa-amoblado-y-equipado-dos-dormitorios-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=31&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1711553581-dpto-mariposa-est-y-bodega-zanartup-valdivia-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=32&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1711597355-1d1b-centrico-gasto-comun-incluido-en-el-precio-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=33&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1703171405-2-dorm-1-bano-estacionamiento-y-bodega-escuela-agricola-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=36&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1712561599-excelente-departamento-en-upsala-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=38&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,-33.3683078,-70.4943812,Las Condes,"Calle las condes, Santiago, Chile"
https://portalinmobiliario.com/MLC-3198359896-depto-nuevo-y-amplio-2d-2b-junto-a-clinica-bupa-la-florida-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=40&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3121849174-oportunidad-lindo-depto-de-1-h-1-b-en-comuna-de-san-miguel-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=41&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1713748723-precioso-departamento-de-1h-1b-al-frente-del-club-hipico-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=42&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3203796346-amplio-y-comodo-departamento-excelente-ubicacion-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=44&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3208535050-amplio-y-iluminado-departamento-en-arriendo-en-las-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=46&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3198275262-departamento-en-arriendo-en-las-condes-con-terraza-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=47&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,-33.3683078,-70.4943812,Las Condes,"Calle las condes, Santiago, Chile"
https://portalinmobiliario.com/MLC-1692217493-amplio-e-iluminado-departamento-en-martin-de-zamor-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=48&type=item&tracking_id=a82d9327-4d53-4648-a5ad-df245491d7b1,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1698103917-amplio-departamento-semi-nuevo-excelente-conect-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=3&type=item&tracking_id=f6a08e05-d8bc-4e0d-81e4-44d033081420,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3181245278-gran-y-remodelado-departamento-club-de-golf-el--_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=f6a08e05-d8bc-4e0d-81e4-44d033081420,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3182196130-arriendo-de-espectacular-duplex-con-gran-vista-en-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=6&type=item&tracking_id=f6a08e05-d8bc-4e0d-81e4-44d033081420,,,No Especificada,Failed
