link,titulo,precio,moneda
https://portalinmobiliario.com/MLC-3184924146-departamento-avenida-inglaterra-id-159744-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=16&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Avenida Inglaterra Id: 159744,275000,$
https://portalinmobiliario.com/MLC-1710306407-departamento-franklin-id-97248-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=17&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Franklin Id: 97248,370000,$
https://portalinmobiliario.com/MLC-1662067437-departamento-san-diego-id-19841-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=18&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento San Diego Id: 19841,8,UF
https://portalinmobiliario.com/MLC-2942407756-departamento-vicuna-mackenna-id-16713-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=19&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Vicuña Mackenna Id: 16713,270000,$
https://portalinmobiliario.com/MLC-1671347425-departamento-san-petersburgo-id-101761-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=20&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento San Petersburgo Id: 101761,300000,$
https://portalinmobiliario.com/MLC-3114566650-departamento-avenida-alameda-libertador-bernardo-ohiggins-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=21&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Avenida Alameda Libertador Bernardo O'higgins,430000,$
https://portalinmobiliario.com/MLC-3193567228-departamento-vicuna-mackenna-id-17911-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=22&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Vicuña Mackenna Id: 17911,420000,$
https://portalinmobiliario.com/MLC-3156655846-departamento-maestra-lidia-torres-id-109545-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=23&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Maestra Lidia Torres Id: 109545,600000,$
https://portalinmobiliario.com/MLC-3072052998-departamento-coronel-godoy-id-112987-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=24&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Coronel Godoy Id: 112987,297000,$
https://portalinmobiliario.com/MLC-1712530299-departamento-fray-camilo-henriquez-id-116971-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=25&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Fray Camilo Henríquez Id: 116971,300000,$
https://portalinmobiliario.com/MLC-3153998760-departamento-avenida-maria-rozas-velasquez-id-89948-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=26&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Avenida María Rozas Velásquez Id: 89948,250000,$
https://portalinmobiliario.com/MLC-1684818375-departamento-san-diego-id-47645-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=27&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento San Diego Id: 47645,435000,$
https://portalinmobiliario.com/MLC-3188839222-departamento-lord-cochrane-id-89377-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=28&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Lord Cochrane Id: 89377,300000,$
https://portalinmobiliario.com/MLC-3193038278-departamento-san-pablo-id-88056-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=29&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento San Pablo Id: 88056,380000,$
https://portalinmobiliario.com/MLC-3159441260-departamento-la-virgen-id-90489-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=30&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento La Virgen Id: 90489,700000,$
https://portalinmobiliario.com/MLC-1711088515-departamento-lazo-id-99062-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=31&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Lazo Id: 99062,350000,$
https://portalinmobiliario.com/MLC-3163687302-departamento-abtao-id-108757-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=32&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Abtao Id: 108757,260000,$
https://portalinmobiliario.com/MLC-1698667477-departamento-san-nicolas-id-158635-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=33&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento San Nicolás Id: 158635,280000,$
https://portalinmobiliario.com/MLC-1673563137-departamento-avenida-inglaterra-id-111577-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=34&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Avenida Inglaterra Id: 111577,210000,$
https://portalinmobiliario.com/MLC-3134754946-departamento-humorista-carlos-helo-id-112017-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=35&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Humorista Carlos Helo Id: 112017,330000,$
https://portalinmobiliario.com/MLC-3193014672-departamento-alvarez-de-toledo-id-24803-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=36&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Álvarez De Toledo Id: 24803,360000,$
https://portalinmobiliario.com/MLC-3121735862-departamento-decima-avenida-id-119601-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=37&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Décima Avenida Id: 119601,355000,$
https://portalinmobiliario.com/MLC-1686955553-departamento-marin-id-88997-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=38&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,Departamento Marín Id: 88997,380000,$
