link,superficie_util,superficie_total,dormitorios,banos
https://portalinmobiliario.com/MLC-3000569776-luminoso-y-acogedor-departamento-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=32&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,99 m²,109 m²,2,2
https://portalinmobiliario.com/MLC-2890455574-departamento-en-venta-de-2-dorm-en-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=33&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,140 m²,180 m²,2,2
https://portalinmobiliario.com/MLC-1657639745-departamento-remodelado-clinica-alemana-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=34&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,119 m²,129 m²,2,2
https://portalinmobiliario.com/MLC-3185069734-excelente-departamento-en-providencia-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=35&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,45 m²,65 m²,1,1
https://portalinmobiliario.com/MLC-2898698554-tabancura-san-damiam-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=36&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,112 m²,142 m²,3,3
https://portalinmobiliario.com/MLC-2885888402-uf-7820-en-nunoa-3d2b-2-box-imperdible-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=37&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,89 m²,104 m²,3,2
https://portalinmobiliario.com/MLC-3000610436-exclusivo-en-nunoa-3-d-2-b-nororiente-excelente-estado-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=38&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,104 m²,110 m²,3,2
https://portalinmobiliario.com/MLC-1544093801-departamento-remodelado-juan-xxiii-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=39&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,120 m²,120 m²,3,3
https://portalinmobiliario.com/MLC-3142824216-providencia-dario-urzua-remodelado-3d-2b-90-m2-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=40&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,84 m²,90 m²,3,2
https://portalinmobiliario.com/MLC-1680916685-atencion-inversionistas-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=41&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,60 m²,70 m²,2,2
https://portalinmobiliario.com/MLC-1692763819-s-fontecilla-vaticano-79-m2-2d-2b-parque-tobalaba-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=42&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,70 m²,79 m²,2,2
https://portalinmobiliario.com/MLC-2861563368-oportunidad-dpto-2d-2b-a-pasos-mall-plaza-egana-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=43&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,58 m²,65 m²,2,2
https://portalinmobiliario.com/MLC-2935895068-torres-de-tajamar-2d2b-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=44&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,73 m²,73 m²,2,2
https://portalinmobiliario.com/MLC-3059650108-estadio-nacional2d1b-estacionamiento-asignado-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=45&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,62 m²,62 m²,2,1
https://portalinmobiliario.com/MLC-1595453973-departamento-duplex-con-jardin-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=46&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,210 m²,250 m²,5,4
https://portalinmobiliario.com/MLC-1694538767-departamento-en-venta-de-3-dorm-en-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=47&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,119 m²,140 m²,3,3
https://portalinmobiliario.com/MLC-1593246633-departamento-remodelado-en-nuestra-senora-de-los-angeles-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=48&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,157 m²,197 m²,3,3
https://portalinmobiliario.com/MLC-1583944739-departamento-venta-vespucio-norte-vista-despejada-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=1&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,223 m²,253 m²,3,4
https://portalinmobiliario.com/MLC-1626059931-departamento-remodelado-en-el-golf-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=2&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,140 m²,150 m²,3,3
